Average RMSE of model for positive_per_day: 208.87643971876813, epochs: 500, batch_size: 50, data from 2020-04-01\
Average RMSE of model for positive_per_day: 133.06709075040646, epochs: 500, batch_size: 50, all data\
Average RMSE of model for positive_per_day: 163.56971706636628, epochs: 1000, batch_size: 1, data from 2020-04-01\
Average RMSE of model for positive_per_day: 92.59925232087093, epochs: 1000, batch_size: 1, all data\
Average RMSE of model for positive_per_day: 122.39156423084805, epochs: 1000, batch_size: 5, data from 2020-04-01\
Average RMSE of model for positive_per_day: 105.84697356393323, epochs: 1000, batch_size: 5, all data\
Average RMSE of model for positive_per_day: 149.99058763288855, epochs: 1000, batch_size: 10, data from 2020-04-01\
Average RMSE of model for positive_per_day: 113.00618035251352, epochs: 1000, batch_size: 10, all data\
Average RMSE of model for positive_per_day: 177.1016148282006, epochs: 1000, batch_size: 15, data from 2020-04-01\
Average RMSE of model for positive_per_day: 102.25608654159825, epochs: 1000, batch_size: 15, all data\
Average RMSE of model for positive_per_day: 156.4931561006635, epochs: 1000, batch_size: 30, data from 2020-04-01\
Average RMSE of model for positive_per_day: 94.6024062122714, epochs: 1000, batch_size: 30, all data\
Average RMSE of model for positive_per_day: 346.2634185035164, epochs: 1000, batch_size: 50, data from 2020-04-01\
Average RMSE of model for positive_per_day: 115.2753836114663, epochs: 1000, batch_size: 50, all data\
Average RMSE of model for death_total: 26.610019487025223, epochs: 10, batch_size: 1, data from 2020-04-01\
Average RMSE of model for death_total: 20.18603104992328, epochs: 10, batch_size: 1, all data\
Average RMSE of model for death_total: 28.8213060031456, epochs: 10, batch_size: 5, data from 2020-04-01\
Average RMSE of model for death_total: 17.038110621158214, epochs: 10, batch_size: 5, all data\
Average RMSE of model for death_total: 39.637530966504976, epochs: 10, batch_size: 10, data from 2020-04-01\
Average RMSE of model for death_total: 31.55816178752749, epochs: 10, batch_size: 10, all data\
Average RMSE of model for death_total: 131.90840229752348, epochs: 10, batch_size: 15, data from 2020-04-01\
Average RMSE of model for death_total: 80.85034624631028, epochs: 10, batch_size: 15, all data\
Average RMSE of model for death_total: 138.06149673703615, epochs: 10, batch_size: 30, data from 2020-04-01\
Average RMSE of model for death_total: 296.5573028061011, epochs: 10, batch_size: 30, all data\
Average RMSE of model for death_total: 138.48102257109954, epochs: 10, batch_size: 50, data from 2020-04-01\
